Summary,url,Title,Post_Details,Bike Type,Brand,Trim/Edition,Model,Year,Mileage,Seller,Capacity,Price
"TVS Scooty Pep+ 2017 201620,000 kmTrincomalee, MotorbikesRs 210,00049 days",https://ikman.lk/en/ad/tvs-scooty-pep-2017-2016-for-sale-trincomalee,TVS Scooty Pep+ 2017 2016,"Posted on 28 Jan 6:42 pm, Trincomalee City, Trincomalee",Scooters,TVS,2017,Scooty Pep+,2016,"20,000 km",Sachintha Isuru,100 cc,"210,000"
"TVS Scooty Pep+ 20183,200 kmMEMBERColombo, MotorbikesRs 310,00027 days",https://ikman.lk/en/ad/tvs-scooty-pep-2018-for-sale-colombo-420,TVS Scooty Pep+ 2018,"Posted on 15 Feb 12:34 am, Boralesgamuwa, Colombo",Scooters,TVS,tvs,Scooty Pep+,2018,"3,200 km",Ranul Motors,100 cc,"310,000"
"TVS Scooty Pep+ 201815,000 kmPolonnaruwa, MotorbikesRs 325,00056 days",https://ikman.lk/en/ad/tvs-scooty-pep-2018-for-sale-polonnaruwa,TVS Scooty Pep+ 2018,"Posted on 07 Feb 1:06 pm, Polonnaruwa City, Polonnaruwa",Scooters,TVS,2018,Scooty Pep+,2018,"15,000 km",lakmal,90 cc,"325,000"
"TVS Scooty Pep+ 201935,000 kmVavuniya, MotorbikesRs 360,00033 days",https://ikman.lk/en/ad/tvs-scooty-pep-2019-for-sale-vavuniya,TVS Scooty Pep+ 2019,"Posted on 09 Feb 2:26 pm, Vavuniya City, Vavuniya",Scooters,TVS,2019,Scooty Pep+,2019,"35,000 km",thanus,90 cc,"360,000"
"TVS Scooty Pep+ 20205,039 kmMEMBERGampaha, MotorbikesRs 340,00042 days",https://ikman.lk/en/ad/tvs-scooty-pep-2020-for-sale-gampaha-14,TVS Scooty Pep+ 2020,"Posted on 06 Feb 11:34 am, Katunayake, Gampaha",Scooters,TVS,,Scooty Pep+,2020,"5,039 km",Amila Motors,90 cc,"340,000"
"TVS Scooty Pep+ pet 201144,000 kmKandy, MotorbikesRs 138,00049 days",https://ikman.lk/en/ad/tvs-scooty-pep-pet-2011-for-sale-kandy,TVS Scooty Pep+ pet 2011,"Posted on 24 Jan 10:59 am, Kandy City, Kandy",Scooters,TVS,Scooty pet,Scooty Pep+,2011,"44,000 km",Kavindu,100 cc,"138,000"
"TVS Scooty Pep+ Pink 201816,000 kmMEMBERColombo, MotorbikesRs 335,00030 days",https://ikman.lk/en/ad/tvs-scooty-pep-pink-2018-for-sale-colombo-7,TVS Scooty Pep+ Pink 2018,"Posted on 12 Feb 11:27 pm, Piliyandala, Colombo",Scooters,TVS,Pink,Scooty Pep+,2018,"16,000 km",Piliyandala Scooty Mart,90 cc,"335,000"
"TVS Scooty Pep+ plus 201232,569 kmGalle, MotorbikesRs 210,00042 days",https://ikman.lk/en/ad/tvs-scooty-pep-plus-2012-for-sale-galle,TVS Scooty Pep+ plus 2012,"Posted on 31 Jan 7:57 am, Hikkaduwa, Galle",Scooters,TVS,plus,Scooty Pep+,2012,"32,569 km",IAL DE SILVA,90 cc,"210,000"
"TVS Scooty Pept . 201639,979 kmGalle, MotorbikesRs 280,00035 days",https://ikman.lk/en/ad/tvs-scooty-pept-2014-2016-for-sale-galle,TVS Scooty Pept . 2016,"Posted on 07 Feb 3:02 pm, Baddegama, Galle",Scooters,TVS,.,Scooty Pept,2016,"39,979 km",sadeepa sheherahn,90 cc,"280,000"
"TVS Scooty Pept 100 201717,289 kmHambantota, MotorbikesRs 250,00058 days",https://ikman.lk/en/ad/tvs-scooty-pept-100-2017-for-sale-hambantota,TVS Scooty Pept 100 2017,"Posted on 08 Mar 9:30 am, Beliatta, Hambantota",Scooters,TVS,100,Scooty Pept,2017,"17,289 km",Sell Fast | Beliatta |IPK Computer,100 cc,"250,000"
"TVS Scooty Pept 200745,000 kmGalle, MotorbikesRs 115,00031 days",https://ikman.lk/en/ad/tvs-scooty-pept-2007-for-sale-galle-46,TVS Scooty Pept 2007,"Posted on 18 Feb 2:34 pm, Baddegama, Galle",Scooters,TVS,,Scooty Pept,2007,"45,000 km",Sell Fast Pitabeddara | Vishwa Graphics,90 cc,"115,000"
"TVS Scooty Pept 200856,000 kmKalutara, MotorbikesRs 165,00044 days",https://ikman.lk/en/ad/tvs-scooty-pept-2008-for-sale-kalutara-50,TVS Scooty Pept 2008,"Posted on 28 Jan 2:40 pm, Panadura, Kalutara",Scooters,TVS,,Scooty Pept,2008,"56,000 km",Lahiru Prabath,100 cc,"165,000"
"TVS Scooty Pept 200860,000 kmAnuradhapura, MotorbikesRs 138,00050 days",https://ikman.lk/en/ad/tvs-scooty-pept-2008-for-sale-anuradhapura-6,TVS Scooty Pept 2008,"Posted on 22 Jan 2:18 pm, Talawa, Anuradhapura",Scooters,TVS,,Scooty Pept,2008,"60,000 km",Sell Fast | Anuradhapura | Sathsara,90 cc,"138,000"
